Item_ID,Weight,Value
1,103,4212
2,436,662
3,861,3884
4,271,3620
5,107,1869
6,72,2335
7,701,3375
8,21,1017
9,615,4407
10,122,208
11,467,2666
12,215,2494
13,331,633
14,459,2103
15,88,2960
16,373,3084
17,100,4753
18,872,1932
19,664,3720
20,131,2563
21,662,1680
22,309,237
23,770,4444
24,344,4726
25,492,1541
26,414,3944
27,806,364
28,386,2369
29,192,286
30,956,149
31,277,4038
32,161,4552
33,460,1767
34,314,4896
35,22,1013
36,253,2832
37,748,2508
38,857,1524
39,561,2786
40,475,2557
41,59,3726
42,511,4577
43,682,1602
44,476,2409
45,700,341
46,976,2818
47,783,2497
48,190,4931
49,958,1726
50,687,1690
51,958,3268
52,563,4407
53,876,262
54,567,1443
55,244,406
56,832,2191
57,505,4438
58,131,244
59,485,4586
60,819,4108
61,647,561
62,21,4138
63,841,2726
64,167,594
65,274,1827
66,388,3230
67,601,3288
68,316,4074
69,14,134
70,242,3139
71,777,3920
72,346,73
73,565,4495
74,898,4226
75,340,2979
76,92,4362
77,367,1986
78,956,793
79,455,4260
80,428,95
81,509,1134
82,776,4918
83,943,238
84,35,2947
85,206,2531
86,81,1961
87,932,1049
88,562,2530
89,872,2965
90,388,964
91,2,537
92,390,4224
93,566,3680
94,106,4188
95,772,3725
96,822,543
97,477,846
98,703,3604
99,402,3037
100,730,2495
101,556,4486
102,162,2720
103,202,1885
104,958,4139
105,996,4350
106,270,3202
107,863,2711
108,816,1954
109,271,4738
110,456,3851
111,462,690
112,727,1951
113,252,457
114,702,2131
115,296,3977
116,725,4245
117,720,1180
118,749,4286
119,338,3566
120,879,883
121,53,400
122,792,609
123,922,1639
124,217,2149
125,764,1383
126,188,1404
127,380,820
128,493,3293
129,41,820
130,157,420
131,15,4220
132,813,4518
133,65,3303
134,857,1509
135,839,768
136,521,2045
137,344,2140
138,129,3030
139,648,1550
140,472,1765
141,63,2646
142,139,3717
143,499,4606
144,593,4482
145,392,2294
146,675,4838
147,419,2709
148,289,901
149,379,3085
150,773,2010
151,490,242
152,231,2386
153,41,4269
154,28,672
155,135,164
156,201,465
157,840,3043
158,780,4593
159,930,4796
160,33,2443
161,48,4799
162,503,2356
163,407,4279
164,574,4725
165,728,2558
166,805,546
167,99,4720
168,684,3836
169,872,594
170,726,4840
171,987,3805
172,547,1460
173,961,3494
174,739,2602
175,613,2445
176,943,2673
177,462,4201
178,643,17
179,769,3192
180,5,393
181,218,425
182,503,572
183,767,3632
184,398,1121
185,871,242
186,795,3898
187,393,4096
188,207,2280
189,15,789
190,858,715
191,554,4855
192,892,2850
193,461,776
194,691,4027
195,575,2248
196,864,79
197,743,3927
198,241,856
199,564,2149
200,96,1032
